id;start_date;end_date;language
1;2022-11-06T17:01:54;2022-11-06T14:52:09;ENGLISH
2;2022-11-06T02:29:29;2022-11-06T11:54:58;FRENCH
3;2022-11-06T12:25:41;2022-11-06T00:30:49;SPANISH
4;2022-11-06T16:56:30;2022-11-05T22:22:49;FRENCH
5;2022-11-06T19:12:53;2022-11-06T03:31:51;ENGLISH
6;2022-11-06T04:43:36;2022-11-06T18:43:56;SPANISH
7;2022-11-06T12:47:24;2022-11-05T23:21:33;FRENCH
8;2022-11-06T03:13:17;2022-11-05T23:49:06;FRENCH
9;2022-11-06T04:04:55;2022-11-06T15:36:21;FRENCH
10;2022-11-06T00:01:53;2022-11-06T16:59:22;FRENCH
